Cache,Scenario,Iterations,Concurrency,MeanNs,OpsPerSec,AllocBytesPerOp,Gen0,Gen1,Gen2,WallMs,FactoryCalls
MemoryCache,Hit (warm get),300000,1,524.388,1906984.9043,168,0,0,0,157.3164,0
MemoryCache,Concurrent hit,999996,12,100.3134,9968757.7881,0,0,0,0,100.313,0
MemoryCache,Mixed 90/10,999996,12,148.8912,6716313.8573,0,0,0,0,148.8906,0
MemoryCache,Set,200000,1,510.5365,1958723.8131,104,1,0,0,102.1073,0
MemoryCache,Miss (get-or-compute),50000,1,2031.178,492325.1433,519,1,0,0,101.5589,0
FusionCache,Hit (warm get),300000,1,1071.5003,933270.8249,184,0,0,0,321.4501,0
FusionCache,Concurrent hit,999996,12,92.977,10755351.3465,0,0,0,0,92.9766,0
FusionCache,Mixed 90/10,999996,12,140.0988,7137821.8992,0,0,0,0,140.0982,0
FusionCache,Set,200000,1,459.9955,2173934.3102,184,1,0,0,91.9991,0
FusionCache,Miss (get-or-compute),50000,1,2584.112,386980.1309,1255,1,0,0,129.2056,0
ActualLab.Fusion,Hit (warm get),300000,1,425.848,2348255.7157,59,0,0,0,127.7544,0
ActualLab.Fusion,Concurrent hit,999996,12,65.8224,15192404.9825,0,0,0,0,65.8221,0
ActualLab.Fusion,Mixed 90/10,999996,12,412.506,2424207.4567,0,0,0,0,412.5043,0
ActualLab.Fusion,Set,200000,1,2840.33,352071.7663,1226,8,6,0,568.066,0
ActualLab.Fusion,Miss (get-or-compute),50000,1,1442.06,693452.4222,1173,1,0,0,72.103,0
LiteAPI.Cache,Hit (warm get),300000,1,598.995,1669463.0172,816,18,0,0,179.6985,0
LiteAPI.Cache,Concurrent hit,999996,12,216.2403,4624485.6395,0,0,0,0,216.2394,0
LiteAPI.Cache,Mixed 90/10,999996,12,219.3006,4559951.5184,0,0,0,0,219.2997,0
LiteAPI.Cache,Set,200000,1,926.996,1078753.3064,48,1,0,0,185.3992,0
LiteAPI.Cache,Miss (get-or-compute),50000,1,1922.77,520083.0052,1349,10,0,0,96.1385,0
MemoryCache,Stampede,256,256,120576.5625,0,0,0,0,0,30.8676,256
FusionCache,Stampede,256,256,96131.6406,0,0,0,0,0,24.6097,1
ActualLab.Fusion,Stampede,256,256,81450,0,0,0,0,0,20.8512,1
LiteAPI.Cache,Stampede,256,256,85156.6406,0,0,0,0,0,21.8001,1
